,Week Number,Date,region,Influenza Positive Cases
24190,201846,2018-11-11,Upper Southern,7
24200,201847,2018-11-18,Bay Area,5
24210,201847,2018-11-18,California,69
24220,201847,2018-11-18,Central,18
24230,201847,2018-11-18,Lower Southern,41
24240,201847,2018-11-18,Northern,0
24250,201847,2018-11-18,Upper Southern,5
24260,201848,2018-11-25,Bay Area,12
24270,201848,2018-11-25,California,82
24280,201848,2018-11-25,Central,20
24290,201848,2018-11-25,Lower Southern,43
24300,201848,2018-11-25,Northern,4
24310,201848,2018-11-25,Upper Southern,3
24320,201849,2018-12-02,Bay Area,7
24330,201849,2018-12-02,California,71
24340,201849,2018-12-02,Central,17
24350,201849,2018-12-02,Lower Southern,37
24360,201849,2018-12-02,Northern,2
24370,201849,2018-12-02,Upper Southern,8
24380,201850,2018-12-09,Bay Area,18
24390,201850,2018-12-09,California,119
24400,201850,2018-12-09,Central,12
24410,201850,2018-12-09,Lower Southern,66
24420,201850,2018-12-09,Northern,5
24430,201850,2018-12-09,Upper Southern,18
24440,201851,2018-12-16,Bay Area,20
24450,201851,2018-12-16,California,167
24460,201851,2018-12-16,Central,39
24470,201851,2018-12-16,Lower Southern,58
24480,201851,2018-12-16,Northern,12
24490,201851,2018-12-16,Upper Southern,38
24500,201852,2018-12-23,Bay Area,50
24510,201852,2018-12-23,California,201
24520,201852,2018-12-23,Central,18
24530,201852,2018-12-23,Lower Southern,89
24540,201852,2018-12-23,Northern,0
24550,201852,2018-12-23,Upper Southern,44
24560,201901,2018-12-30,Bay Area,78
24570,201901,2018-12-30,California,267
24580,201901,2018-12-30,Central,26
24590,201901,2018-12-30,Lower Southern,102
24600,201901,2018-12-30,Northern,1
24610,201901,2018-12-30,Upper Southern,60
24620,201902,2019-01-06,Bay Area,98
24630,201902,2019-01-06,California,393
24640,201902,2019-01-06,Central,30
24650,201902,2019-01-06,Lower Southern,164
24660,201902,2019-01-06,Northern,0
24670,201902,2019-01-06,Upper Southern,101
24680,201903,2019-01-13,Bay Area,68
24690,201903,2019-01-13,California,238
24700,201903,2019-01-13,Central,34
24710,201903,2019-01-13,Lower Southern,79
24720,201903,2019-01-13,Northern,7
24730,201903,2019-01-13,Upper Southern,50
24740,201904,2019-01-20,Bay Area,92
24750,201904,2019-01-20,California,213
24760,201904,2019-01-20,Central,31
24770,201904,2019-01-20,Lower Southern,47
24780,201904,2019-01-20,Northern,0
24790,201904,2019-01-20,Upper Southern,43
24800,201905,2019-01-27,Bay Area,76
24810,201905,2019-01-27,California,252
24820,201905,2019-01-27,Central,33
24830,201905,2019-01-27,Lower Southern,103
24840,201905,2019-01-27,Northern,2
24850,201905,2019-01-27,Upper Southern,38
24860,201906,2019-02-03,Bay Area,55
24870,201906,2019-02-03,California,224
24880,201906,2019-02-03,Central,27
24890,201906,2019-02-03,Lower Southern,82
24900,201906,2019-02-03,Northern,14
24910,201906,2019-02-03,Upper Southern,46
24920,201907,2019-02-10,Bay Area,64
24930,201907,2019-02-10,California,226
24940,201907,2019-02-10,Central,21
24950,201907,2019-02-10,Lower Southern,92
24960,201907,2019-02-10,Northern,6
24970,201907,2019-02-10,Upper Southern,43
24980,201908,2019-02-17,Bay Area,83
24990,201908,2019-02-17,California,238
25000,201908,2019-02-17,Central,18
25010,201908,2019-02-17,Lower Southern,80
25020,201908,2019-02-17,Northern,10
25030,201908,2019-02-17,Upper Southern,47
25040,201909,2019-02-24,Bay Area,108
25050,201909,2019-02-24,California,319
25060,201909,2019-02-24,Central,26
25070,201909,2019-02-24,Lower Southern,124
25080,201909,2019-02-24,Northern,2
25090,201909,2019-02-24,Upper Southern,59
25100,201910,2019-03-03,Bay Area,62
25110,201910,2019-03-03,California,328
25120,201910,2019-03-03,Central,56
25130,201910,2019-03-03,Lower Southern,145
25140,201910,2019-03-03,Northern,3
25150,201910,2019-03-03,Upper Southern,62
25160,201911,2019-03-10,Bay Area,68
25170,201911,2019-03-10,California,203
25180,201911,2019-03-10,Central,58
25190,201911,2019-03-10,Lower Southern,38
25200,201911,2019-03-10,Northern,1
25210,201911,2019-03-10,Upper Southern,38
25220,201912,2019-03-17,Bay Area,76
25230,201912,2019-03-17,California,218
25240,201912,2019-03-17,Central,44
25250,201912,2019-03-17,Lower Southern,41
25260,201912,2019-03-17,Northern,6
25270,201912,2019-03-17,Upper Southern,51
25280,201913,2019-03-24,Bay Area,54
25290,201913,2019-03-24,California,159
25300,201913,2019-03-24,Central,37
25310,201913,2019-03-24,Lower Southern,35
25320,201913,2019-03-24,Northern,7
25330,201913,2019-03-24,Upper Southern,26
25340,201914,2019-03-31,Bay Area,28
25350,201914,2019-03-31,California,174
25360,201914,2019-03-31,Central,31
25370,201914,2019-03-31,Lower Southern,74
25380,201914,2019-03-31,Northern,6
25390,201914,2019-03-31,Upper Southern,35
25400,201915,2019-04-07,Bay Area,26
25410,201915,2019-04-07,California,84
25420,201915,2019-04-07,Central,28
25430,201915,2019-04-07,Lower Southern,23
25440,201915,2019-04-07,Northern,0
25450,201915,2019-04-07,Upper Southern,7
25460,201916,2019-04-14,Bay Area,6
25470,201916,2019-04-14,California,41
25480,201916,2019-04-14,Central,12
25490,201916,2019-04-14,Lower Southern,13
25500,201916,2019-04-14,Northern,0
25510,201916,2019-04-14,Upper Southern,10
25520,201917,2019-04-21,Bay Area,11
25530,201917,2019-04-21,California,29
25540,201917,2019-04-21,Central,7
25550,201917,2019-04-21,Lower Southern,4
25560,201917,2019-04-21,Northern,1
25570,201917,2019-04-21,Upper Southern,6
25580,201918,2019-04-28,Bay Area,10
25590,201918,2019-04-28,California,29
25600,201918,2019-04-28,Central,8
25610,201918,2019-04-28,Lower Southern,7
25620,201918,2019-04-28,Northern,1
25630,201918,2019-04-28,Upper Southern,3
25640,201919,2019-05-05,Bay Area,2
25650,201919,2019-05-05,California,10
25660,201919,2019-05-05,Central,1
25670,201919,2019-05-05,Lower Southern,7
25680,201919,2019-05-05,Northern,0
25690,201919,2019-05-05,Upper Southern,0
25700,201920,2019-05-12,Bay Area,3
25710,201920,2019-05-12,California,11
25720,201920,2019-05-12,Central,4
25730,201920,2019-05-12,Lower Southern,4
25740,201920,2019-05-12,Northern,0
25750,201920,2019-05-12,Upper Southern,0
25760,201921,2019-05-19,Bay Area,2
25770,201921,2019-05-19,California,10
25780,201921,2019-05-19,Central,2
25790,201921,2019-05-19,Lower Southern,5
25800,201921,2019-05-19,Northern,0
25810,201921,2019-05-19,Upper Southern,1
25820,201922,2019-05-26,Bay Area,2
25830,201922,2019-05-26,California,15
25840,201922,2019-05-26,Central,6
25850,201922,2019-05-26,Lower Southern,7
25860,201922,2019-05-26,Northern,0
25870,201922,2019-05-26,Upper Southern,0
25880,201923,2019-06-02,Bay Area,0
25890,201923,2019-06-02,California,9
25900,201923,2019-06-02,Central,0
25910,201923,2019-06-02,Lower Southern,9
25920,201923,2019-06-02,Northern,0
25930,201923,2019-06-02,Upper Southern,0
25940,201924,2019-06-09,Bay Area,1
25950,201924,2019-06-09,California,9
25960,201924,2019-06-09,Central,1
25970,201924,2019-06-09,Lower Southern,7
25980,201924,2019-06-09,Northern,0
25990,201924,2019-06-09,Upper Southern,0
26000,201925,2019-06-16,Bay Area,11
26010,201925,2019-06-16,California,12
26020,201925,2019-06-16,Central,0
26030,201925,2019-06-16,Lower Southern,1
26040,201925,2019-06-16,Northern,0
26050,201925,2019-06-16,Upper Southern,0
26060,201926,2019-06-23,Bay Area,7
26070,201926,2019-06-23,California,9
26080,201926,2019-06-23,Central,0
26090,201926,2019-06-23,Lower Southern,1
26100,201926,2019-06-23,Northern,0
26110,201926,2019-06-23,Upper Southern,1
26120,201927,2019-06-30,Bay Area,0
26130,201927,2019-06-30,California,3
26140,201927,2019-06-30,Central,1
26150,201927,2019-06-30,Lower Southern,2
26160,201927,2019-06-30,Northern,0
26170,201927,2019-06-30,Upper Southern,0
26180,201928,2019-07-07,Bay Area,1
26190,201928,2019-07-07,California,6
26200,201928,2019-07-07,Central,0
26210,201928,2019-07-07,Lower Southern,5
26220,201928,2019-07-07,Northern,0
26230,201928,2019-07-07,Upper Southern,0
26240,201929,2019-07-14,Bay Area,2
26250,201929,2019-07-14,California,4
26260,201929,2019-07-14,Central,0
26270,201929,2019-07-14,Lower Southern,0
26280,201929,2019-07-14,Northern,0
26290,201929,2019-07-14,Upper Southern,2
26300,201930,2019-07-21,Bay Area,1
26310,201930,2019-07-21,California,2
26320,201930,2019-07-21,Central,0
26330,201930,2019-07-21,Lower Southern,0
26340,201930,2019-07-21,Northern,0
26350,201930,2019-07-21,Upper Southern,1
26360,201931,2019-07-28,Bay Area,2
26370,201931,2019-07-28,California,3
26380,201931,2019-07-28,Central,0
26390,201931,2019-07-28,Lower Southern,1
26400,201931,2019-07-28,Northern,0
26410,201931,2019-07-28,Upper Southern,0
26420,201932,2019-08-04,Bay Area,0
26430,201932,2019-08-04,California,1
26440,201932,2019-08-04,Central,0
26450,201932,2019-08-04,Lower Southern,0
26460,201932,2019-08-04,Northern,0
26470,201932,2019-08-04,Upper Southern,1
26480,201933,2019-08-11,Bay Area,3
26490,201933,2019-08-11,California,10
26500,201933,2019-08-11,Central,1
26510,201933,2019-08-11,Lower Southern,5
26520,201933,2019-08-11,Northern,1
26530,201933,2019-08-11,Upper Southern,0
26540,201934,2019-08-18,Bay Area,3
26550,201934,2019-08-18,California,6
26560,201934,2019-08-18,Central,0
26570,201934,2019-08-18,Lower Southern,1
26580,201934,2019-08-18,Northern,1
26590,201934,2019-08-18,Upper Southern,1
26600,201935,2019-08-25,Bay Area,1
26610,201935,2019-08-25,California,4
26620,201935,2019-08-25,Central,2
26630,201935,2019-08-25,Lower Southern,1
26640,201935,2019-08-25,Northern,0
26650,201935,2019-08-25,Upper Southern,0
26660,201936,2019-09-01,Bay Area,1
26670,201936,2019-09-01,California,4
26680,201936,2019-09-01,Central,0
26690,201936,2019-09-01,Lower Southern,2
26700,201936,2019-09-01,Northern,1
26710,201936,2019-09-01,Upper Southern,0
26720,201937,2019-09-08,Bay Area,1
26730,201937,2019-09-08,California,9
26740,201937,2019-09-08,Central,1
26750,201937,2019-09-08,Lower Southern,2
26760,201937,2019-09-08,Northern,0
26770,201937,2019-09-08,Upper Southern,5
26780,201938,2019-09-15,Bay Area,0
26790,201938,2019-09-15,California,3
26800,201938,2019-09-15,Central,0
26810,201938,2019-09-15,Lower Southern,2
26820,201938,2019-09-15,Northern,1
26830,201938,2019-09-15,Upper Southern,0
26840,201939,2019-09-22,Bay Area,3
26850,201939,2019-09-22,California,5
26860,201939,2019-09-22,Central,0
26870,201939,2019-09-22,Lower Southern,2
26880,201939,2019-09-22,Northern,0
26890,201939,2019-09-22,Upper Southern,0
26900,201940,2019-09-29,Bay Area,3
26910,201940,2019-09-29,California,17
26920,201940,2019-09-29,Central,6
26930,201940,2019-09-29,Lower Southern,7
26940,201940,2019-09-29,Northern,0
26950,201940,2019-09-29,Upper Southern,1
26960,201941,2019-10-06,Bay Area,1
26970,201941,2019-10-06,California,27
26980,201941,2019-10-06,Central,12
26990,201941,2019-10-06,Lower Southern,11
27000,201941,2019-10-06,Northern,0
27010,201941,2019-10-06,Upper Southern,3
27020,201942,2019-10-13,Bay Area,3
27030,201942,2019-10-13,California,17
27040,201942,2019-10-13,Central,1
27050,201942,2019-10-13,Lower Southern,5
27060,201942,2019-10-13,Northern,0
27070,201942,2019-10-13,Upper Southern,8
27080,201943,2019-10-20,Bay Area,3
27090,201943,2019-10-20,California,32
27100,201943,2019-10-20,Central,11
27110,201943,2019-10-20,Lower Southern,14
27120,201943,2019-10-20,Northern,2
27130,201943,2019-10-20,Upper Southern,2
27140,201944,2019-10-27,Bay Area,10
27150,201944,2019-10-27,California,43
27160,201944,2019-10-27,Central,8
27170,201944,2019-10-27,Lower Southern,13
27180,201944,2019-10-27,Northern,6
27190,201944,2019-10-27,Upper Southern,6
27200,201945,2019-11-03,Bay Area,26
27210,201945,2019-11-03,California,118
27220,201945,2019-11-03,Central,20
27230,201945,2019-11-03,Lower Southern,35
27240,201945,2019-11-03,Northern,13
27250,201945,2019-11-03,Upper Southern,24
27260,201946,2019-11-10,Bay Area,13
27270,201946,2019-11-10,California,110
27280,201946,2019-11-10,Central,12
27290,201946,2019-11-10,Lower Southern,38
27300,201946,2019-11-10,Northern,19
27310,201946,2019-11-10,Upper Southern,28
27320,201947,2019-11-17,Bay Area,37
27330,201947,2019-11-17,California,165
27340,201947,2019-11-17,Central,28
27350,201947,2019-11-17,Lower Southern,46
27360,201947,2019-11-17,Northern,17
27370,201947,2019-11-17,Upper Southern,37
27380,201948,2019-11-24,Bay Area,39
27390,201948,2019-11-24,California,131
27400,201948,2019-11-24,Central,20
27410,201948,2019-11-24,Lower Southern,40
27420,201948,2019-11-24,Northern,20
27430,201948,2019-11-24,Upper Southern,12
27440,201949,2019-12-01,Bay Area,60
27450,201949,2019-12-01,California,249
27460,201949,2019-12-01,Central,14
27470,201949,2019-12-01,Lower Southern,102
27480,201949,2019-12-01,Northern,28
27490,201949,2019-12-01,Upper Southern,45
27500,201950,2019-12-08,Bay Area,51
27510,201950,2019-12-08,California,263
27520,201950,2019-12-08,Central,59
27530,201950,2019-12-08,Lower Southern,75
27540,201950,2019-12-08,Northern,18
27550,201950,2019-12-08,Upper Southern,60
27560,201951,2019-12-15,Bay Area,75
27570,201951,2019-12-15,California,272
27580,201951,2019-12-15,Central,41
27590,201951,2019-12-15,Lower Southern,42
27600,201951,2019-12-15,Northern,30
27610,201951,2019-12-15,Upper Southern,84
27620,201952,2019-12-22,Bay Area,73
27630,201952,2019-12-22,California,429
27640,201952,2019-12-22,Central,127
27650,201952,2019-12-22,Lower Southern,105
27660,201952,2019-12-22,Northern,23
27670,201952,2019-12-22,Upper Southern,101
27680,202001,2019-12-29,Bay Area,120
27690,202001,2019-12-29,California,437
27700,202001,2019-12-29,Central,42
27710,202001,2019-12-29,Lower Southern,136
27720,202001,2019-12-29,Northern,37
27730,202001,2019-12-29,Upper Southern,102
27740,202002,2020-01-05,Bay Area,150
27750,202002,2020-01-05,California,465
27760,202002,2020-01-05,Central,27
27770,202002,2020-01-05,Lower Southern,58
27780,202002,2020-01-05,Northern,72
27790,202002,2020-01-05,Upper Southern,158
27800,202003,2020-01-12,Bay Area,147
27810,202003,2020-01-12,California,547
27820,202003,2020-01-12,Central,34
27830,202003,2020-01-12,Lower Southern,47
27840,202003,2020-01-12,Northern,71
27850,202003,2020-01-12,Upper Southern,248
27860,202004,2020-01-19,Bay Area,128
27870,202004,2020-01-19,California,367
27880,202004,2020-01-19,Central,29
27890,202004,2020-01-19,Lower Southern,46
27900,202004,2020-01-19,Northern,82
27910,202004,2020-01-19,Upper Southern,82
27920,202005,2020-01-26,Bay Area,161
27930,202005,2020-01-26,California,454
27940,202005,2020-01-26,Central,56
27950,202005,2020-01-26,Lower Southern,35
27960,202005,2020-01-26,Northern,51
27970,202005,2020-01-26,Upper Southern,151
27980,202006,2020-02-02,Bay Area,91
27990,202006,2020-02-02,California,456
28000,202006,2020-02-02,Central,51
28010,202006,2020-02-02,Lower Southern,129
28020,202006,2020-02-02,Northern,2
28030,202006,2020-02-02,Upper Southern,183
28040,202007,2020-02-09,Bay Area,111
28050,202007,2020-02-09,California,324
28060,202007,2020-02-09,Central,32
28070,202007,2020-02-09,Lower Southern,37
28080,202007,2020-02-09,Northern,4
28090,202007,2020-02-09,Upper Southern,140
28100,202008,2020-02-16,Bay Area,107
28110,202008,2020-02-16,California,215
28120,202008,2020-02-16,Central,25
28130,202008,2020-02-16,Lower Southern,37
28140,202008,2020-02-16,Northern,6
28150,202008,2020-02-16,Upper Southern,40
28160,202009,2020-02-23,Bay Area,73
28170,202009,2020-02-23,California,140
28180,202009,2020-02-23,Central,20
28190,202009,2020-02-23,Lower Southern,27
28200,202009,2020-02-23,Northern,3
28210,202009,2020-02-23,Upper Southern,17
28220,202010,2020-03-01,Bay Area,85
28230,202010,2020-03-01,California,190
28240,202010,2020-03-01,Central,9
28250,202010,2020-03-01,Lower Southern,72
28260,202010,2020-03-01,Northern,10
28270,202010,2020-03-01,Upper Southern,14
28280,202011,2020-03-08,Bay Area,54
28290,202011,2020-03-08,California,111
28300,202011,2020-03-08,Central,14
28310,202011,2020-03-08,Lower Southern,22
28320,202011,2020-03-08,Northern,4
28330,202011,2020-03-08,Upper Southern,17
28340,202012,2020-03-15,Bay Area,39
28350,202012,2020-03-15,California,63
28360,202012,2020-03-15,Central,7
28370,202012,2020-03-15,Lower Southern,6
28380,202012,2020-03-15,Northern,3
28390,202012,2020-03-15,Upper Southern,8
28400,202013,2020-03-22,Bay Area,20
28410,202013,2020-03-22,California,34
28420,202013,2020-03-22,Central,5
28430,202013,2020-03-22,Lower Southern,1
28440,202013,2020-03-22,Northern,3
28450,202013,2020-03-22,Upper Southern,5
28460,202014,2020-03-29,Bay Area,5
28470,202014,2020-03-29,California,7
28480,202014,2020-03-29,Central,0
28490,202014,2020-03-29,Lower Southern,0
28500,202014,2020-03-29,Northern,0
28510,202014,2020-03-29,Upper Southern,2
28520,202015,2020-04-05,Bay Area,1
28530,202015,2020-04-05,California,1
28540,202015,2020-04-05,Central,0
28550,202015,2020-04-05,Lower Southern,0
28560,202015,2020-04-05,Northern,0
28570,202015,2020-04-05,Upper Southern,0
28580,202016,2020-04-12,Bay Area,0
28590,202016,2020-04-12,California,0
28600,202016,2020-04-12,Central,0
28610,202016,2020-04-12,Lower Southern,0
28620,202016,2020-04-12,Northern,0
28630,202016,2020-04-12,Upper Southern,0
28640,202017,2020-04-19,Bay Area,1
28650,202017,2020-04-19,California,2
28660,202017,2020-04-19,Central,0
28670,202017,2020-04-19,Lower Southern,0
28680,202017,2020-04-19,Northern,0
28690,202017,2020-04-19,Upper Southern,1
28700,202018,2020-04-26,Bay Area,0
28710,202018,2020-04-26,California,1
28720,202018,2020-04-26,Central,0
28730,202018,2020-04-26,Lower Southern,0
28740,202018,2020-04-26,Northern,0
28750,202018,2020-04-26,Upper Southern,1
28760,202019,2020-05-03,Bay Area,0
28770,202019,2020-05-03,California,0
28780,202019,2020-05-03,Central,0
28790,202019,2020-05-03,Lower Southern,0
28800,202019,2020-05-03,Northern,0
28810,202019,2020-05-03,Upper Southern,0
28820,202020,2020-05-10,Bay Area,0
28830,202020,2020-05-10,California,0
28840,202020,2020-05-10,Central,0
28850,202020,2020-05-10,Lower Southern,0
28860,202020,2020-05-10,Northern,0
28870,202020,2020-05-10,Upper Southern,0
28880,202021,2020-05-17,Bay Area,0
28890,202021,2020-05-17,California,0
28900,202021,2020-05-17,Central,0
28910,202021,2020-05-17,Lower Southern,0
28920,202021,2020-05-17,Northern,0
28930,202021,2020-05-17,Upper Southern,0
28940,202022,2020-05-24,Bay Area,0
28950,202022,2020-05-24,California,0
28960,202022,2020-05-24,Central,0
28970,202022,2020-05-24,Lower Southern,0
28980,202022,2020-05-24,Northern,0
28990,202022,2020-05-24,Upper Southern,0
29000,202023,2020-05-31,Bay Area,0
29010,202023,2020-05-31,California,1
29020,202023,2020-05-31,Central,1
29030,202023,2020-05-31,Lower Southern,0
29040,202023,2020-05-31,Northern,0
29050,202023,2020-05-31,Upper Southern,0
29060,202024,2020-06-07,Bay Area,0
29070,202024,2020-06-07,California,1
29080,202024,2020-06-07,Central,0
29090,202024,2020-06-07,Lower Southern,0
29100,202024,2020-06-07,Northern,1
29110,202024,2020-06-07,Upper Southern,0
29120,202025,2020-06-14,Bay Area,0
29130,202025,2020-06-14,California,0
29140,202025,2020-06-14,Central,0
29150,202025,2020-06-14,Lower Southern,0
29160,202025,2020-06-14,Northern,0
29170,202025,2020-06-14,Upper Southern,0
29180,202026,2020-06-21,Bay Area,0
29190,202026,2020-06-21,California,0
29200,202026,2020-06-21,Central,0
29210,202026,2020-06-21,Lower Southern,0
29220,202026,2020-06-21,Northern,0
29230,202026,2020-06-21,Upper Southern,0
29240,202027,2020-06-28,Bay Area,0
29250,202027,2020-06-28,California,0
29260,202027,2020-06-28,Central,0
29270,202027,2020-06-28,Lower Southern,0
29280,202027,2020-06-28,Northern,0
29290,202027,2020-06-28,Upper Southern,0
29300,202028,2020-07-05,Bay Area,0
29310,202028,2020-07-05,California,0
29320,202028,2020-07-05,Central,0
29330,202028,2020-07-05,Lower Southern,0
29340,202028,2020-07-05,Northern,0
29350,202028,2020-07-05,Upper Southern,0
29360,202029,2020-07-12,Bay Area,0
29370,202029,2020-07-12,California,0
29380,202029,2020-07-12,Central,0
29390,202029,2020-07-12,Lower Southern,0
29400,202029,2020-07-12,Northern,0
29410,202029,2020-07-12,Upper Southern,0
29420,202030,2020-07-19,Bay Area,0
29430,202030,2020-07-19,California,1
29440,202030,2020-07-19,Central,0
29450,202030,2020-07-19,Lower Southern,1
29460,202030,2020-07-19,Northern,0
29470,202030,2020-07-19,Upper Southern,0
29480,202031,2020-07-26,Bay Area,0
29490,202031,2020-07-26,California,0
29500,202031,2020-07-26,Central,0
29510,202031,2020-07-26,Lower Southern,0
29520,202031,2020-07-26,Northern,0
29530,202031,2020-07-26,Upper Southern,0
29540,202032,2020-08-02,Bay Area,0
29550,202032,2020-08-02,California,0
29560,202032,2020-08-02,Central,0
29570,202032,2020-08-02,Lower Southern,0
29580,202032,2020-08-02,Northern,0
29590,202032,2020-08-02,Upper Southern,0
29600,202033,2020-08-09,Bay Area,0
29610,202033,2020-08-09,California,0
29620,202033,2020-08-09,Central,0
29630,202033,2020-08-09,Lower Southern,0
29640,202033,2020-08-09,Northern,0
29650,202033,2020-08-09,Upper Southern,0
29660,202034,2020-08-16,Bay Area,0
29670,202034,2020-08-16,California,0
29680,202034,2020-08-16,Central,0
29690,202034,2020-08-16,Lower Southern,0
29700,202034,2020-08-16,Northern,0
29710,202034,2020-08-16,Upper Southern,0
29720,202035,2020-08-23,Bay Area,0
29730,202035,2020-08-23,California,0
29740,202035,2020-08-23,Central,0
29750,202035,2020-08-23,Lower Southern,0
29760,202035,2020-08-23,Northern,0
29770,202035,2020-08-23,Upper Southern,0
29780,202036,2020-08-30,Bay Area,0
29790,202036,2020-08-30,California,0
29800,202036,2020-08-30,Central,0
29810,202036,2020-08-30,Lower Southern,0
29820,202036,2020-08-30,Northern,0
29830,202036,2020-08-30,Upper Southern,0
29840,202037,2020-09-06,Bay Area,0
29850,202037,2020-09-06,California,0
29860,202037,2020-09-06,Central,0
29870,202037,2020-09-06,Lower Southern,0
29880,202037,2020-09-06,Northern,0
29890,202037,2020-09-06,Upper Southern,0
29900,202038,2020-09-13,Bay Area,0
29910,202038,2020-09-13,California,0
29920,202038,2020-09-13,Central,0
29930,202038,2020-09-13,Lower Southern,0
29940,202038,2020-09-13,Northern,0
29950,202038,2020-09-13,Upper Southern,0
29960,202039,2020-09-20,Bay Area,0
29970,202039,2020-09-20,California,0
29980,202039,2020-09-20,Central,0
29990,202039,2020-09-20,Lower Southern,0
30000,202039,2020-09-20,Northern,0
30010,202039,2020-09-20,Upper Southern,0
30020,202040,2020-09-27,Bay Area,0
30030,202040,2020-09-27,California,0
30040,202040,2020-09-27,Central,0
30050,202040,2020-09-27,Lower Southern,0
30060,202040,2020-09-27,Northern,0
30070,202040,2020-09-27,Upper Southern,0
